Team,City,Country
Bielefeld,Bielefeld,Germany
Hannover,Hanover,Germany
Como,Como,Italy
Empoli,Empoli,Italy
Modena,Modena,Italy
Ath Madrid,Madrid,Spain
Recreativo,Huelva,Spain
Nice,Nice,France
Le Havre,Le Havre,France
Ajaccio,Ajaccio,France
Wolves,Wolverhampton,England
Portsmouth,Portsmouth,England
Sampdoria,Genoa,Italy
Siena,Siena,Italy
Ancona,Ancona,Italy
Albacete,Albacete,Spain
Murcia,Murcia,Spain
Le Mans,Le Mans,France
Norwich,Norwich,England
Crystal Palace,London,England
Mainz,Mainz,Germany
Livorno,Livorno,Italy
Cagliari,Cagliari,Italy
Palermo,Palermo,Italy
Messina,Messina,Italy
Levante,Valencia,Spain
Getafe,Getafe,Spain
Caen,Caen,France
Istres,Istres,France
Wigan,Wigan,England
Duisburg,Duisburg,Germany
Ascoli,Ascoli Piceno,Italy
Treviso,Treviso,Italy
Cadiz,Cádiz,Spain
Nancy,Nancy,France
Watford,Watford,England
Reading,Reading,England
Sheffield United,Sheffield,England
Aachen,Aachen,Germany
Catania,Catania,Italy
Gimnastic,Tarragona,Spain
Valenciennes,Valenciennes,France
Karlsruhe,Karlsruhe,Germany
Genoa,Genoa,Italy
Almeria,Almería,Spain
Stoke,Stoke-on-Trent,England
Hull,Hull,England
Hoffenheim,Sinsheim,Germany
Sp Gijon,Gijón,Spain
Grenoble,Grenoble,France
Burnley,Burnley,England
Xerez,Jerez de la Frontera,Spain
Boulogne,Boulogne-sur-Mer,France
Blackpool,Blackpool,England
Cesena,Cesena,Italy
Hercules,Alicante,Spain
Arles,Arles,France
Brest,Brest,France
QPR,London,England
Swansea,Swansea,Wales
Augsburg,Augsburg,Germany
Novara,Novara,Italy
Granada,Granada,Spain
Evian Thonon Gaillard,Évian-les-Bains,France
Dijon,Dijon,France
Fortuna Dusseldorf,Düsseldorf,Germany
Greuther Furth,Fürth,Germany
Pescara,Pescara,Italy
Reims,Reims,France
Cardiff,Cardiff,Wales
Braunschweig,Brunswick,Germany
Sassuolo,Sassuolo,Italy
Elche,Elche,Spain
Paderborn,Paderborn,Germany
Eibar,Eibar,Spain
Cordoba,Córdoba,Spain
Bournemouth,Bournemouth,England
Darmstadt,Darmstadt,Germany
Ingolstadt,Ingolstadt,Germany
Frosinone,Frosinone,Italy
Carpi,Carpi,Italy
Angers,Angers,France
Ajaccio GFCO,Ajaccio,France
RB Leipzig,Leipzig,Germany
Crotone,Crotone,Italy
Leganes,Leganés,Spain
Brighton,Brighton,England
Huddersfield,Huddersfield,England
Spal,Ferrara,Italy
Benevento,Benevento,Italy
Girona,Girona,Spain
Amiens,Amiens,France
Huesca,Huesca,Spain
Union Berlin,Berlin,Germany
Nimes,Nîmes,France
Spezia,La Spezia,Italy
Brentford,London,England
Salernitana,Salerno,Italy
Clermont,Clermont-Ferrand,France
Nott'm Forest,Nottingham,England
Monza,Monza,Italy
Cremonese,Cremona,Italy
Luton,Luton,England
Heidenheim,Heidenheim an der Brenz,Germany
